,hallmark,CellType,Condition1,Condition2,Statistic,p-value,mean1,mean2,p_adj
0,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-8.618520620426624,6.782466748365035e-18,35.18953,41.064995,2.8486360343133147e-15
1,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_DEU1000_2h,15.14964050308381,7.618217259234772e-52,35.18953,22.680157,3.199651248878604e-49
2,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_RUX1000_2h,0.3338693907294785,0.7384781183879481,35.18953,35.020214,1.0
3,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_BAR1000_2h,6.237418164056165,4.448516900921227e-10,35.18953,30.709352,1.8683770983869152e-07
4,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_BMS1000_2h,2.843486784352151,0.004462285992097456,35.18953,32.00829,1.0
5,hallmark_ifna,B,IFNb_MOM1000_2h,IFNb_ABR1000_2h,0.26519402217614646,0.7908599997078924,35.18953,35.605747,1.0
6,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_DEU1000_2h,20.38730986132134,2.167406428012775e-92,41.064995,22.680157,9.103106997653656e-90
7,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_RUX1000_2h,6.666414814857148,2.621277160029215e-11,41.064995,35.020214,1.1009364072122703e-08
8,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_BAR1000_2h,13.901014134548836,6.245019706728678e-44,41.064995,30.709352,2.622908276826045e-41
9,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_BMS1000_2h,7.311989593544035,2.632155010598303e-13,41.064995,32.00829,1.1055051044512873e-10
10,hallmark_ifna,B,IFNb_Ctrl_2h,IFNb_ABR1000_2h,7.17478946797217,7.241854125836393e-13,41.064995,35.605747,3.041578732851285e-10
11,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-12.043007535681047,2.1111594978468407e-33,22.680157,35.020214,8.86686989095673e-31
12,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-10.498754758564582,8.752709751826465e-26,22.680157,30.709352,3.6761380957671155e-23
13,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-7.6672819591213175,1.7567930978258995e-14,22.680157,32.00829,7.378531010868778e-12
14,hallmark_ifna,B,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-13.449254000245144,3.10993924258902e-41,22.680157,35.605747,1.3061744818873885e-38
15,hallmark_ifna,B,IFNb_RUX1000_2h,IFNb_BAR1000_2h,4.68654708165244,2.778529229137615e-06,35.020214,30.709352,0.0011669822762377983
16,hallmark_ifna,B,IFNb_RUX1000_2h,IFNb_BMS1000_2h,2.1935011531004927,0.028271291600782733,35.020214,32.00829,1.0
17,hallmark_ifna,B,IFNb_RUX1000_2h,IFNb_ABR1000_2h,-0.18656452544376786,0.8520020829274508,35.020214,35.605747,1.0
18,hallmark_ifna,B,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-1.328352208038005,0.1840617799616482,30.709352,32.00829,1.0
19,hallmark_ifna,B,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-5.306230885480562,1.1191518640432181e-07,30.709352,35.605747,4.700437828981516e-05
20,hallmark_ifna,B,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-2.409307852086685,0.015982809757470975,32.00829,35.605747,1.0
21,hallmark_ifna,CD4T,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-5.213929575192008,1.848816812361229e-07,34.33787,36.010593,7.765030611917163e-05
22,hallmark_ifna,CD4T,IFNb_MOM1000_2h,IFNb_DEU1000_2h,37.1605270912707,2.9640302888207873e-302,34.33787,19.38352,1.2448927213047305e-299
23,hallmark_ifna,CD4T,IFNb_MOM1000_2h,IFNb_RUX1000_2h,-0.9686206770911393,0.3327344828738087,34.33787,34.60678,1.0
24,hallmark_ifna,CD4T,IFNb_MOM1000_2h,IFNb_BAR1000_2h,23.680042300012477,5.790105167754467e-124,34.33787,26.034847,2.4318441704568763e-121
25,hallmark_ifna,CD4T,IFNb_MOM1000_2h,IFNb_BMS1000_2h,9.429167017335734,4.133585061578516e-21,34.33787,28.698973,1.7361057258629766e-18
26,hallmark_ifna,CD4T,IFNb_MOM1000_2h,IFNb_ABR1000_2h,9.418797643050395,4.562828484915509e-21,34.33787,31.115423,1.9163879636645137e-18
27,hallmark_ifna,CD4T,IFNb_Ctrl_2h,IFNb_DEU1000_2h,42.45316549106958,0.0,36.010593,19.38352,0.0
28,hallmark_ifna,CD4T,IFNb_Ctrl_2h,IFNb_RUX1000_2h,2.545816979898984,0.010902233179743308,36.010593,34.60678,1.0
29,hallmark_ifna,CD4T,IFNb_Ctrl_2h,IFNb_BAR1000_2h,29.385550196282928,8.401736022502838e-190,36.010593,26.034847,3.528729129451192e-187
30,hallmark_ifna,CD4T,IFNb_Ctrl_2h,IFNb_BMS1000_2h,11.845637142587501,2.2668890946572112e-32,36.010593,28.698973,9.520934197560288e-30
31,hallmark_ifna,CD4T,IFNb_Ctrl_2h,IFNb_ABR1000_2h,14.519461775890946,9.122368890761109e-48,36.010593,31.115423,3.831394934119666e-45
32,hallmark_ifna,CD4T,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-28.246343650604768,1.5784157126242232e-175,19.38352,34.60678,6.629345993021737e-173
33,hallmark_ifna,CD4T,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-19.256977172223515,1.2337387818734927e-82,19.38352,26.034847,5.181702883868669e-80
34,hallmark_ifna,CD4T,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-15.716443276474516,1.1669322874162805e-55,19.38352,28.698973,4.901115607148378e-53
35,hallmark_ifna,CD4T,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-28.89210407759987,1.5003207459842693e-183,19.38352,31.115423,6.301347133133931e-181
36,hallmark_ifna,CD4T,IFNb_RUX1000_2h,IFNb_BAR1000_2h,18.083947696638415,4.2643032832862665e-73,34.60678,26.034847,1.791007378980232e-70
37,hallmark_ifna,CD4T,IFNb_RUX1000_2h,IFNb_BMS1000_2h,8.601550936853705,7.864598300426082e-18,34.60678,28.698973,3.3031312861789545e-15
38,hallmark_ifna,CD4T,IFNb_RUX1000_2h,IFNb_ABR1000_2h,7.677628947665791,1.6206008817437957e-14,34.60678,31.115423,6.806523703323942e-12
39,hallmark_ifna,CD4T,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-4.919819525249907,8.662404792976177e-07,26.034847,28.698973,0.0003638210013049994
40,hallmark_ifna,CD4T,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-13.479141126738734,2.0750829008237987e-41,26.034847,31.115423,8.715348183459954e-39
41,hallmark_ifna,CD4T,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-3.6409325373273664,0.00027165231706194825,28.698973,31.115423,0.11409397316601827
42,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-6.177201383161207,6.524782622059419e-10,30.149286,33.121468,2.740408701264956e-07
43,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_DEU1000_2h,27.469199050411383,4.0980022044474166e-166,30.149286,14.929309,1.721160925867915e-163
44,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_RUX1000_2h,-0.6010783563631789,0.5477877983420643,30.149286,31.109148,1.0
45,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_BAR1000_2h,15.513842083833309,2.796336862068051e-54,30.149286,22.17895,1.1744614820685814e-51
46,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_BMS1000_2h,3.909188585866856,9.260665067901876e-05,30.149286,26.071629,0.038894793285187884
47,hallmark_ifna,CD8T,IFNb_MOM1000_2h,IFNb_ABR1000_2h,2.337138329862405,0.019431992553654062,30.149286,29.04861,1.0
48,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_DEU1000_2h,33.00745979192109,6.3483539772877545e-239,33.121468,14.929309,2.666308670460857e-236
49,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_RUX1000_2h,3.5251049525970153,0.0004233150413685598,33.121468,31.109148,0.17779231737479512
50,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_BAR1000_2h,21.398105180120602,1.3914909932526174e-101,33.121468,22.17895,5.844262171660993e-99
51,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_BMS1000_2h,6.289430359360365,3.1863300681552616e-10,33.121468,26.071629,1.33825862862521e-07
52,hallmark_ifna,CD8T,IFNb_Ctrl_2h,IFNb_ABR1000_2h,8.356836215225977,6.442264468134601e-17,33.121468,29.04861,2.7057510766165324e-14
53,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-21.163016411604797,2.0938938925956555e-99,14.929309,31.109148,8.794354348901753e-97
54,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-16.32659862376318,6.384609575312886e-60,14.929309,22.17895,2.681536021631412e-57
55,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-10.68702704637425,1.1706336555323936e-26,14.929309,26.071629,4.916661353236053e-24
56,hallmark_ifna,CD8T,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-25.787304438978047,1.2308643353146044e-146,14.929309,29.04861,5.169630208321339e-144
57,hallmark_ifna,CD8T,IFNb_RUX1000_2h,IFNb_BAR1000_2h,12.19783581482774,3.191951002690435e-34,31.109148,22.17895,1.3406194211299828e-31
58,hallmark_ifna,CD8T,IFNb_RUX1000_2h,IFNb_BMS1000_2h,3.8268387162393522,0.00012979949971931665,31.109148,26.071629,0.054515789882112996
59,hallmark_ifna,CD8T,IFNb_RUX1000_2h,IFNb_ABR1000_2h,2.2895346542361152,0.022048306804284455,31.109148,29.04861,1.0
60,hallmark_ifna,CD8T,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-3.790993349619068,0.00015004597233271848,22.17895,26.071629,0.06301930837974176
61,hallmark_ifna,CD8T,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-13.21788313563824,6.918371195920855e-40,22.17895,29.04861,2.9057159022867594e-37
62,hallmark_ifna,CD8T,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-2.8120481204530474,0.004922713815667167,26.071629,29.04861,1.0
63,hallmark_ifna,Monocyte,IFNb_MOM1000_2h,IFNb_Ctrl_2h,5.13229367511934,2.8623242369098136e-07,68.18896,64.26413,0.00012021761795021216
64,hallmark_ifna,Monocyte,IFNb_MOM1000_2h,IFNb_DEU1000_2h,7.193439554803209,6.317912974443449e-13,68.18896,62.01475,2.6535234492662486e-10
65,hallmark_ifna,Monocyte,IFNb_MOM1000_2h,IFNb_RUX1000_2h,0.33684627638044595,0.7362327860345408,68.18896,68.0453,1.0
66,hallmark_ifna,Monocyte,IFNb_MOM1000_2h,IFNb_BAR1000_2h,13.352687035648616,1.1425207843680624e-40,68.18896,57.736774,4.798587294345862e-38
67,hallmark_ifna,Monocyte,IFNb_MOM1000_2h,IFNb_BMS1000_2h,2.7215870966314117,0.0064969262284592,68.18896,65.20497,1.0
68,hallmark_ifna,Monocyte,IFNb_MOM1000_2h,IFNb_ABR1000_2h,3.2301632296131153,0.001237195620722495,68.18896,65.77638,0.5196221607034479
69,hallmark_ifna,Monocyte,IFNb_Ctrl_2h,IFNb_DEU1000_2h,3.2975662272373745,0.0009752667200743673,64.26413,62.01475,0.4096120224312343
70,hallmark_ifna,Monocyte,IFNb_Ctrl_2h,IFNb_RUX1000_2h,-4.451752597597541,8.517226376966963e-06,64.26413,68.0453,0.0035772350783261245
71,hallmark_ifna,Monocyte,IFNb_Ctrl_2h,IFNb_BAR1000_2h,9.418530373223055,4.574456106871164e-21,64.26413,57.736774,1.9212715648858887e-18
72,hallmark_ifna,Monocyte,IFNb_Ctrl_2h,IFNb_BMS1000_2h,-0.7631165420743731,0.44539389549239483,64.26413,65.20497,1.0
73,hallmark_ifna,Monocyte,IFNb_Ctrl_2h,IFNb_ABR1000_2h,-1.8496400555203116,0.06436544557428005,64.26413,65.77638,1.0
74,hallmark_ifna,Monocyte,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-6.611857329482635,3.795276950645361e-11,62.01475,68.0453,1.594016319271052e-08
75,hallmark_ifna,Monocyte,IFNb_DEU1000_2h,IFNb_BAR1000_2h,4.609577224040572,4.03488640397231e-06,62.01475,57.736774,0.0016946522896683703
76,hallmark_ifna,Monocyte,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-2.9077535447160794,0.0036403510911519176,62.01475,65.20497,1.0
77,hallmark_ifna,Monocyte,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-4.6206381178098965,3.82561561019328e-06,62.01475,65.77638,0.0016067585562811776
78,hallmark_ifna,Monocyte,IFNb_RUX1000_2h,IFNb_BAR1000_2h,12.370507052857652,3.7743120559841905e-35,68.0453,57.736774,1.58521106351336e-32
79,hallmark_ifna,Monocyte,IFNb_RUX1000_2h,IFNb_BMS1000_2h,2.3038732225681993,0.02122976125222253,68.0453,65.20497,1.0
80,hallmark_ifna,Monocyte,IFNb_RUX1000_2h,IFNb_ABR1000_2h,2.6838509297625337,0.007277954921901401,68.0453,65.77638,1.0
81,hallmark_ifna,Monocyte,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-6.905640150393435,4.9977539428100456e-12,57.736774,65.20497,2.099056655980219e-09
82,hallmark_ifna,Monocyte,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-10.672102011709233,1.3748052634895863e-26,57.736774,65.77638,5.7741821066562625e-24
83,hallmark_ifna,Monocyte,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-0.48798944948698103,0.6255573141998239,65.20497,65.77638,1.0
84,hallmark_ifna,DC,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-1.4786269146551525,0.13924005525393413,53.140347,57.003788,1.0
85,hallmark_ifna,DC,IFNb_MOM1000_2h,IFNb_DEU1000_2h,3.111547133654226,0.001861097612444416,53.140347,44.60645,0.7816609972266547
86,hallmark_ifna,DC,IFNb_MOM1000_2h,IFNb_RUX1000_2h,-0.4411309577454304,0.6591181927670776,53.140347,54.228745,1.0
87,hallmark_ifna,DC,IFNb_MOM1000_2h,IFNb_BAR1000_2h,2.104676287800834,0.035319495930936064,53.140347,47.55604,1.0
88,hallmark_ifna,DC,IFNb_MOM1000_2h,IFNb_BMS1000_2h,0.4789019752851781,0.6320083656704438,53.140347,53.051174,1.0
89,hallmark_ifna,DC,IFNb_MOM1000_2h,IFNb_ABR1000_2h,0.8318082827105148,0.4055171679749078,53.140347,51.26829,1.0
90,hallmark_ifna,DC,IFNb_Ctrl_2h,IFNb_DEU1000_2h,4.540932351648925,5.600600133822877e-06,57.003788,44.60645,0.0023522520562056083
91,hallmark_ifna,DC,IFNb_Ctrl_2h,IFNb_RUX1000_2h,0.7505104195349378,0.4529473507445001,57.003788,54.228745,1.0
92,hallmark_ifna,DC,IFNb_Ctrl_2h,IFNb_BAR1000_2h,3.649794392556838,0.00026245029842117423,57.003788,47.55604,0.11022912533689318
93,hallmark_ifna,DC,IFNb_Ctrl_2h,IFNb_BMS1000_2h,1.5415996275832147,0.12317091612180713,57.003788,53.051174,1.0
94,hallmark_ifna,DC,IFNb_Ctrl_2h,IFNb_ABR1000_2h,2.3703591113167466,0.01777081535338026,57.003788,51.26829,1.0
95,hallmark_ifna,DC,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-3.2168453908605668,0.0012960842312927262,44.60645,54.228745,0.544355377142945
96,hallmark_ifna,DC,IFNb_DEU1000_2h,IFNb_BAR1000_2h,-1.3753694670440075,0.16901692994846407,44.60645,47.55604,1.0
97,hallmark_ifna,DC,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-2.2068463815308634,0.02732479344366353,44.60645,53.051174,1.0
98,hallmark_ifna,DC,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-2.4156678795557,0.01570638023546833,44.60645,51.26829,1.0
99,hallmark_ifna,DC,IFNb_RUX1000_2h,IFNb_BAR1000_2h,2.3311009815579173,0.019748035557148554,54.228745,47.55604,1.0
100,hallmark_ifna,DC,IFNb_RUX1000_2h,IFNb_BMS1000_2h,0.7538640622643366,0.4509308519083608,54.228745,53.051174,1.0
101,hallmark_ifna,DC,IFNb_RUX1000_2h,IFNb_ABR1000_2h,1.2178678824801792,0.22327418298219537,54.228745,51.26829,1.0
102,hallmark_ifna,DC,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-1.1448699209100286,0.2522630456692966,47.55604,53.051174,1.0
103,hallmark_ifna,DC,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-1.1634517095464072,0.2446462800009619,47.55604,51.26829,1.0
104,hallmark_ifna,DC,IFNb_BMS1000_2h,IFNb_ABR1000_2h,0.20500154580618396,0.8375709172963108,53.051174,51.26829,1.0
105,hallmark_ifna,Eosinophil,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-0.47409641056069696,0.635431158132207,46.842262,49.554615,1.0
106,hallmark_ifna,Eosinophil,IFNb_MOM1000_2h,IFNb_DEU1000_2h,3.502866499036712,0.00046028009029832706,46.842262,35.518677,0.19331763792529735
107,hallmark_ifna,Eosinophil,IFNb_MOM1000_2h,IFNb_RUX1000_2h,0.01822580398215255,0.9854587174525828,46.842262,47.122124,1.0
108,hallmark_ifna,Eosinophil,IFNb_MOM1000_2h,IFNb_BAR1000_2h,4.297077811419209,1.7306445741970566e-05,46.842262,35.355766,0.007268707211627637
109,hallmark_ifna,Eosinophil,IFNb_MOM1000_2h,IFNb_BMS1000_2h,1.1700487530470864,0.2419813498549468,46.842262,43.53163,1.0
110,hallmark_ifna,Eosinophil,IFNb_MOM1000_2h,IFNb_ABR1000_2h,0.3615443067098218,0.7176925896738027,46.842262,46.50148,1.0
111,hallmark_ifna,Eosinophil,IFNb_Ctrl_2h,IFNb_DEU1000_2h,4.358626240722914,1.3088141713195483e-05,49.554615,35.518677,0.0054970195195421035
112,hallmark_ifna,Eosinophil,IFNb_Ctrl_2h,IFNb_RUX1000_2h,0.47816154156776813,0.6325352328191108,49.554615,47.122124,1.0
113,hallmark_ifna,Eosinophil,IFNb_Ctrl_2h,IFNb_BAR1000_2h,5.970069742171492,2.3715219096606104e-09,49.554615,35.355766,9.960392020574563e-07
114,hallmark_ifna,Eosinophil,IFNb_Ctrl_2h,IFNb_BMS1000_2h,1.7739009842176616,0.0760795299282964,49.554615,43.53163,1.0
115,hallmark_ifna,Eosinophil,IFNb_Ctrl_2h,IFNb_ABR1000_2h,1.1737672429382366,0.2404882680233802,49.554615,46.50148,1.0
116,hallmark_ifna,Eosinophil,IFNb_DEU1000_2h,IFNb_RUX1000_2h,-3.0617215491822702,0.002200680664646237,35.518677,47.122124,0.9242858791514195
117,hallmark_ifna,Eosinophil,IFNb_DEU1000_2h,IFNb_BAR1000_2h,0.19735935605211033,0.8435463332113482,35.518677,35.355766,1.0
118,hallmark_ifna,Eosinophil,IFNb_DEU1000_2h,IFNb_BMS1000_2h,-1.8225827868471334,0.06836660463198067,35.518677,43.53163,1.0
119,hallmark_ifna,Eosinophil,IFNb_DEU1000_2h,IFNb_ABR1000_2h,-3.4626536928384817,0.0005348763378520293,35.518677,46.50148,0.22464806189785233
120,hallmark_ifna,Eosinophil,IFNb_RUX1000_2h,IFNb_BAR1000_2h,3.985518572127102,6.733291017470997e-05,47.122124,35.355766,0.028279822273378188
121,hallmark_ifna,Eosinophil,IFNb_RUX1000_2h,IFNb_BMS1000_2h,1.1463963533309418,0.25163119089777664,47.122124,43.53163,1.0
122,hallmark_ifna,Eosinophil,IFNb_RUX1000_2h,IFNb_ABR1000_2h,0.48132932288451613,0.6302824597593242,47.122124,46.50148,1.0
123,hallmark_ifna,Eosinophil,IFNb_BAR1000_2h,IFNb_BMS1000_2h,-2.0899180254118046,0.03662516407408042,35.355766,43.53163,1.0
124,hallmark_ifna,Eosinophil,IFNb_BAR1000_2h,IFNb_ABR1000_2h,-4.583512522222877,4.572294888227646e-06,35.355766,46.50148,0.0019203638530556114
125,hallmark_ifna,Eosinophil,IFNb_BMS1000_2h,IFNb_ABR1000_2h,-1.024036395732147,0.30581808446629366,43.53163,46.50148,1.0
126,hallmark_ifna,NK,IFNb_MOM1000_2h,IFNb_Ctrl_2h,-5.119615473919275,3.0615926046084447e-07,33.509174,36.753017,0.00012858688939355469
127,hallmark_ifna,NK,IFNb_MOM1000_2h,IFNb_DEU1000_2h,18.421555138156382,8.823177170782795e-76,33.509174,14.995423,3.705734411728774e-73
128,hallmark_ifna,NK,IFNb_MOM1000_2h,IFNb_RUX1000_2h,-0.11485987856697225,0.9085561868234703,33.509174,33.303074,1.0
129,hallmark_ifna,NK,IFNb_MOM1000_2h,IFNb_BAR1000_2h,12.656655271130164,1.0278605261881074e-36,33.509174,23.188705,4.317014209990051e-34
130,hallmark_ifna,NK,IFNb_MOM1000_2h,IFNb_BMS1000_2h,4.061526224992474,4.8752940319273065e-05,33.509174,26.814049,0.020476234934094686
131,hallmark_ifna,NK,IFNb_MOM1000_2h,IFNb_ABR1000_2h,4.131772100757323,3.599772338703648e-05,33.509174,30.27694,0.015119043822555321
132,hallmark_ifna,NK,IFNb_Ctrl_2h,IFNb_DEU1000_2h,21.38227176362238,1.9538320737027407e-101,36.753017,14.995423,8.206094709551511e-99
133,hallmark_ifna,NK,IFNb_Ctrl_2h,IFNb_RUX1000_2h,3.043820370048288,0.002335945732962512,36.753017,33.303074,0.9810972078442551
134,hallmark_ifna,NK,IFNb_Ctrl_2h,IFNb_BAR1000_2h,17.467340508664726,2.5406469935983165e-68,36.753017,23.188705,1.067071737311293e-65
135,hallmark_ifna,NK,IFNb_Ctrl_2h,IFNb_BMS1000_2h,5.88816434845777,3.9050868550566515e-09,36.753017,26.814049,1.6401364791237937e-06
136,hallmark_ifna,NK,IFNb_Ctrl_2h,IFNb_ABR1000_2h,8.754819912187596,2.044296414331899e-18,36.753017,30.27694,8.586044940193976e-16
